#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2025-11-13T06:01:55 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-13T06:01:55	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-out.src=J/ApJS/234/18/table3&-source=J/ApJS/234/18/table3&-out=Name&-out=sma&-out=ell&-out=muFUV&-out=cumuFUV&-out=muNUV&-out=cumuNUV&-out=FN&-out=sma36&-out=mu36corr&-out=tmagcorr&-out=asmag36&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22340018
#Name: J/ApJS/234/18
#Title: GALEX/S4G surface brightness profiles. I. (Bouquin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apjs/234/18	    IVOID of underlying data collection
#INFO	creator=Bouquin A.Y.K.	    First author or institution
#INFO	cites=bibcode:2018ApJS..234...18B	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/234/18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22340018	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_234_18_table3:
#Name: J/ApJS/234/18/table3
#Title: Surface brightness data for the 1931 galaxies
#Column	Name	(a10)	Galaxy identifier using S^4^G nomenclature	[ucd=meta.id;meta.main]
#Column	sma	(I3)	[6/498] Semi-major axis steps in arcsec	[ucd=phys.angSize;src]
#Column	ell	(F6.3)	Ellipticity	[ucd=src.ellipticity]
#Column	muFUV	(F6.3)	[18.7/40]? GALEX FUV band AB magnitude surface brightness	[ucd=phot.mag.sb;em.UV.100-200nm]
#Column	cumuFUV	(F6.3)	[10/24.2]? Cumulative AB magnitude in FUV band	[ucd=phot.mag;em.UV]
#Column	muNUV	(F6.3)	[18.6/40.3]? GALEX NUV band AB magnitude surface brightness	[ucd=phot.mag.sb;em.UV.200-300nm]
#Column	cumuNUV	(F6.3)	[9.5/23]? Cumulative AB magnitude in NUV band	[ucd=phot.mag;em.UV]
#Column	FN	(F6.3)	[-9.3/10.5]? FUV-NUV color from muFUV-muNUV	[ucd=phot.mag.sb]
#Column	sma36	(I3)	[7/664] Semi-major axis steps in IRAC pixels; 0.75"/pix (1)	[ucd=phys.size.radius]
#Column	mu36corr	(F6.3)	[14/39]? 3.6um aperture-corrected surface brightness (1)	[ucd=phot.mag.sb;em.IR.3-4um]
#Column	tmagcorr	(F6.3)	[6/22]? 3.6um aperture-corrected AB magnitude inside aperture (1)	[ucd=phot.mag;em.IR.3-4um]
#Column	asmag36	(F6.3)	[6.3/17.2] 3.6um asymptotic AB magnitude	[ucd=phot.mag;em.IR.3-4um]
Name;sma;ell;muFUV;cumuFUV;muNUV;cumuNUV;FN;sma36;mu36corr;tmagcorr;asmag36
ESO027-001; 54; 0.235;25.385;14.887;24.878;14.344; 0.507; 72;22.673;11.791;11.528
ESO027-001; 60; 0.235;25.533;14.795;24.961;14.240; 0.572; 80;22.891;11.734;11.528
ESO027-001; 66; 0.235;25.312;14.687;25.154;14.154; 0.157; 88;22.984;11.681;11.528
ESO027-001; 72; 0.235;25.638;14.594;25.260;14.068; 0.378; 96;23.180;11.632;11.528
ESO027-001; 78; 0.235;25.577;14.508;25.579;14.002;-0.002;104;23.559;11.595;11.528
ESO027-001; 84; 0.235;26.013;14.429;26.049;13.955;-0.036;112;24.055;11.568;11.528
ESO027-001; 90; 0.235;26.587;14.381;26.177;13.917; 0.410;120;24.502;11.549;11.528
ESO027-001; 96; 0.235;26.667;14.343;27.171;13.893;-0.504;128;24.922;11.536;11.528
ESO027-001;102; 0.235;27.103;14.307;27.085;13.878; 0.018;136;25.447;11.529;11.528
ESO027-001;108; 0.235;27.422;14.294;27.431;13.866;-0.009;144;25.993;11.523;11.528
ESO027-001;114; 0.235;28.008;14.272;29.766;13.858;-1.759;152;26.383;11.519;11.528
ESO027-001;120; 0.235;28.860;14.263;28.431;13.857; 0.429;160;26.904;11.516;11.528
ESO027-001;126; 0.235;30.026;14.267;29.329;13.856; 0.697;168;29.241;11.515;11.528
ESO027-001;132; 0.235;27.400;14.259;28.646;13.854;-1.246;176;      ;11.515;11.528
ESO027-001;138; 0.235;28.442;14.232;27.703;13.843; 0.739;184;      ;11.516;11.528
ESO027-001;144; 0.235;27.556;14.226;29.999;13.837;-2.444;192;      ;11.518;11.528
ESO027-001;150; 0.235;      ;14.217;      ;13.837;      ;200;      ;11.521;11.528
ESO027-001;156; 0.235;      ;14.213;      ;13.849;      ;208;      ;11.523;11.528
ESO027-001;162; 0.235;27.838;14.216;      ;13.850;      ;216;      ;11.525;11.528
ESO027-001;168; 0.235;27.986;14.191;29.519;13.855;-1.533;224;      ;11.527;11.528
ESO027-001;174; 0.235;28.599;14.174;28.004;13.843; 0.595;232;      ;11.528;11.528
ESO027-008;  6; 0.629;25.362;21.341;24.280;20.084; 1.082;  8;19.399;14.959;11.680
ESO027-008; 12; 0.629;24.683;19.628;23.971;18.694; 0.713; 16;19.995;13.998;11.680
ESO027-008; 18; 0.629;24.973;18.540;24.170;17.685; 0.803; 24;20.155;13.368;11.680
ESO027-008; 24; 0.629;24.289;17.874;24.096;17.026; 0.193; 32;20.307;12.899;11.680
ESO027-008; 30; 0.629;24.488;17.232;24.115;16.561; 0.373; 40;20.484;12.570;11.680
ESO027-008; 36; 0.629;24.715;16.786;24.183;16.169; 0.532; 48;20.814;12.321;11.680
ESO027-008; 42; 0.629;24.603;16.468;24.435;15.893; 0.168; 56;21.057;12.135;11.680
ESO027-008; 48; 0.629;25.295;16.227;24.926;15.691; 0.369; 64;21.389;11.992;11.680
ESO027-008; 54; 0.629;26.160;16.121;25.221;15.551; 0.939; 72;21.829;11.886;11.680
ESO027-008; 60; 0.629;26.530;16.051;25.947;15.463; 0.583; 80;22.306;11.817;11.680
ESO027-008; 66; 0.629;26.646;16.001;26.531;15.417; 0.115; 88;22.811;11.773;11.680
ESO027-008; 72; 0.629;26.845;15.968;27.043;15.378;-0.198; 96;23.270;11.744;11.680
ESO027-008; 78; 0.629;27.580;15.948;27.564;15.358; 0.016;104;23.643;11.726;11.680
ESO027-008; 84; 0.629;29.272;15.944;27.858;15.341; 1.414;112;24.040;11.713;11.680
ESO027-008; 90; 0.629;28.167;15.934;27.606;15.325; 0.561;120;24.373;11.704;11.680
ESO027-008; 96; 0.629;28.756;15.923;27.898;15.311; 0.859;128;24.804;11.697;11.680
ESO027-008;102; 0.629;29.327;15.902;27.989;15.299; 1.337;136;25.144;11.692;11.680
ESO027-008;108; 0.629;29.846;15.907;27.945;15.286; 1.902;144;25.693;11.689;11.680
ESO027-008;114; 0.629;      ;15.911;27.950;15.274;      ;152;26.121;11.687;11.680
ESO027-008;120; 0.629;      ;15.933;28.415;15.266;      ;160;26.576;11.686;11.680
ESO027-008;126; 0.629;      ;15.962;28.676;15.253;      ;168;27.571;11.685;11.680
ESO027-008;132; 0.629;28.691;15.972;28.446;15.246; 0.245;176;27.619;11.685;11.680
ESO027-008;138; 0.629;28.677;15.963;28.902;15.238;-0.226;184;28.979;11.685;11.680
ESO027-008;144; 0.629;      ;15.946;28.676;15.230;      ;192;      ;11.685;11.680
ESO027-008;150; 0.629;28.779;15.950;29.316;15.224;-0.536;200;      ;11.686;11.680
ESO027-008;156; 0.629;      ;15.933;29.173;15.217;      ;208;      ;11.686;11.680
ESO027-008;162; 0.629;      ;15.951;      ;15.217;      ;216;      ;11.687;11.680
ESO027-008;168; 0.629;      ;15.991;29.727;15.217;      ;224;      ;11.687;11.680
ESO027-008;174; 0.629;      ;16.005;28.764;15.217;      ;232;28.088;11.687;11.680
ESO027-008;180; 0.629;      ;16.042;28.558;15.204;      ;240;27.177;11.686;11.680
ESO027-008;186; 0.629;      ;16.069;28.362;15.196;      ;248;28.025;11.684;11.680
ESO027-008;192; 0.629;      ;16.116;29.127;15.179;      ;256;27.570;11.683;11.680
ESO027-008;198; 0.629;      ;16.157;29.588;15.176;      ;264;      ;11.682;11.680
ESO027-008;204; 0.629;      ;16.173;29.339;15.175;      ;272;28.057;11.681;11.680
ESO027-008;210; 0.629;      ;16.221;29.795;15.173;      ;280;29.243;11.680;11.680
ESO048-017;  6; 0.500;23.866;19.198;23.735;19.078; 0.132;  7;21.797;16.991;14.726
ESO048-017; 12; 0.500;24.580;18.112;24.339;17.930; 0.241; 15;22.718;16.011;14.726
ESO048-017; 18; 0.500;24.955;17.519;25.027;17.320;-0.072; 23;23.253;15.564;14.726
ESO048-017; 24; 0.500;25.665;17.140;25.233;16.993; 0.431; 31;23.678;15.319;14.726
ESO048-017; 30; 0.500;25.688;16.909;25.288;16.665; 0.400; 39;24.146;15.183;14.726
ESO048-017; 36; 0.500;25.732;16.673;25.278;16.407; 0.454; 47;24.284;15.069;14.726
ESO048-017; 42; 0.500;25.715;16.461;25.557;16.209; 0.158; 56;24.384;14.964;14.726
ESO048-017; 48; 0.500;26.252;16.325;26.178;16.092; 0.074; 64;24.966;14.882;14.726
ESO048-017; 54; 0.500;27.121;16.256;26.816;16.015; 0.305; 71;25.527;14.834;14.726
ESO048-017; 60; 0.500;27.562;16.214;27.327;15.979; 0.234; 79;26.105;14.795;14.726
ESO048-017; 66; 0.500;28.758;16.194;27.657;15.949; 1.101; 87;26.869;14.771;14.726
ESO048-017; 72; 0.500;28.658;16.179;28.194;15.930; 0.464; 95;26.645;14.751;14.726
ESO048-017; 78; 0.500;29.076;16.174;29.268;15.917;-0.192;104;26.932;14.740;14.726
ESO048-017; 84; 0.500;29.175;16.162;29.984;15.909;-0.809;112;27.612;14.730;14.726
ESO048-017; 90; 0.500;29.114;16.149;29.523;15.907;-0.409;119;27.315;14.721;14.726
ESO048-017; 96; 0.500;29.401;16.135;30.116;15.901;-0.714;127;30.787;14.722;14.726
ESO048-017;102; 0.500;34.145;16.134;31.388;15.900; 2.758;136;29.718;14.726;14.726
ESO079-003;  6; 0.556;23.983;19.717;24.455;20.082;-0.473;  7;18.261;13.316;11.606
ESO079-003; 12; 0.556;24.588;18.201;24.358;18.375; 0.231; 15;19.316;12.565;11.606
ESO079-003; 18; 0.556;25.212;17.636;24.788;17.558; 0.424; 23;19.833;12.227;11.606
ESO079-003; 24; 0.556;26.038;17.406;25.685;17.203; 0.353; 31;20.352;11.937;11.606
ESO079-003; 30; 0.556;26.488;17.248;25.919;17.023; 0.569; 39;20.967;11.757;11.606
ESO079-003; 36; 0.556;26.757;17.126;26.356;16.843; 0.401; 48;22.035;11.690;11.606
ESO079-003; 42; 0.556;26.821;17.003;26.522;16.715; 0.299; 56;22.610;11.659;11.606
ESO079-003; 48; 0.556;27.196;16.930;26.253;16.589; 0.944; 64;23.348;11.639;11.606
ESO079-003; 54; 0.556;27.374;16.860;26.716;16.481; 0.657; 71;23.684;11.628;11.606
ESO079-003; 60; 0.556;27.833;16.806;27.045;16.393; 0.787; 79;24.001;11.620;11.606
ESO079-003; 66; 0.556;28.061;16.764;27.343;16.340; 0.719; 87;24.558;11.614;11.606
ESO079-003; 72; 0.556;28.070;16.727;28.159;16.307;-0.089; 95;24.856;11.611;11.606
ESO079-003; 78; 0.556;      ;16.712;27.916;16.276;      ;104;25.433;11.609;11.606
ESO079-003; 84; 0.556;29.395;16.693;28.321;16.255; 1.074;112;25.925;11.607;11.606
ESO079-003; 90; 0.556;30.223;16.689;28.774;16.231; 1.448;119;26.810;11.607;11.606
ESO079-003; 96; 0.556;28.995;16.679;28.754;16.213; 0.242;127;27.351;11.606;11.606
ESO079-003;102; 0.556;30.500;16.661;29.579;16.202; 0.921;136;26.601;11.606;11.606
ESO079-003;108; 0.556;30.544;16.662;29.494;16.190; 1.051;144;26.927;11.605;11.606
ESO079-003;114; 0.556;30.088;16.662;      ;16.192;      ;152;27.617;11.604;11.606
ESO079-003;120; 0.556;      ;16.664;32.921;16.188;      ;160;26.801;11.604;11.606
ESO079-003;126; 0.556;29.214;16.656;      ;16.196;      ;168;26.630;11.603;11.606
ESO079-003;132; 0.556;30.643;16.643;      ;16.211;      ;176;27.180;11.602;11.606
ESO079-003;138; 0.556;      ;16.640;      ;16.218;      ;184;27.203;11.602;11.606
ESO079-003;144; 0.556;30.626;16.630;      ;16.223;      ;192;32.508;11.602;11.606
ESO079-003;150; 0.556;30.725;16.637;      ;16.234;      ;200;27.669;11.603;11.606
ESO079-003;156; 0.556;      ;16.636;29.279;16.229;      ;208;32.951;11.603;11.606
ESO079-003;162; 0.556;28.887;16.609;      ;16.221;      ;216;      ;11.603;11.606
ESO079-003;168; 0.556;      ;16.608;      ;16.213;      ;224;      ;11.604;11.606
ESO079-003;174; 0.556;30.505;16.613;      ;16.229;      ;232;      ;11.604;11.606
ESO079-003;180; 0.556;30.744;16.608;30.225;16.238; 0.519;240;      ;11.605;11.606
ESO079-003;186; 0.556;30.985;16.606;      ;16.239;      ;248;      ;11.606;11.606
ESO079-003;192; 0.556;      ;16.608;      ;16.235;      ;256;27.791;11.606;11.606
ESO079-005;  6; 0.455;24.419;19.962;23.832;19.214; 0.587;  7;21.373;16.772;13.871
ESO079-005; 12; 0.455;24.243;18.113;23.970;17.811; 0.273; 16;21.906;15.702;13.871
ESO079-005; 18; 0.455;24.412;17.303;24.020;16.975; 0.393; 24;22.231;15.123;13.871
ESO079-005; 24; 0.455;24.508;16.840;24.225;16.429; 0.282; 31;22.603;14.711;13.871
ESO079-005; 30; 0.455;24.638;16.378;24.385;16.031; 0.254; 40;22.944;14.468;13.871
ESO079-005; 36; 0.455;24.811;16.026;24.587;15.719; 0.224; 48;23.471;14.326;13.871
ESO079-005; 42; 0.455;25.459;15.848;25.159;15.550; 0.300; 56;23.771;14.203;13.871
ESO079-005; 48; 0.455;26.021;15.749;25.648;15.439; 0.373; 64;24.207;14.105;13.871
ESO079-005; 54; 0.455;26.152;15.662;25.988;15.356; 0.164; 72;24.687;14.038;13.871
ESO079-005; 60; 0.455;26.624;15.600;26.240;15.297; 0.384; 79;25.055;13.986;13.871
ESO079-005; 66; 0.455;26.738;15.555;26.471;15.245; 0.266; 87;25.436;13.944;13.871
ESO079-005; 72; 0.455;26.357;15.498;26.444;15.195;-0.086; 95;25.889;13.918;13.871
ESO079-005; 78; 0.455;27.330;15.441;26.766;15.148; 0.564;104;26.375;13.902;13.871
ESO079-005; 84; 0.455;27.064;15.409;27.254;15.118;-0.189;112;26.729;13.892;13.871
ESO079-005; 90; 0.455;27.482;15.372;27.337;15.091; 0.145;120;27.294;13.886;13.871
ESO079-005; 96; 0.455;27.747;15.344;27.740;15.071; 0.006;127;27.222;13.879;13.871
ESO079-005;102; 0.455;29.515;15.333;28.215;15.055; 1.300;136;27.304;13.876;13.871
ESO079-005;108; 0.455;28.377;15.321;28.079;15.043; 0.299;144;27.929;13.874;13.871
ESO079-005;114; 0.455;29.158;15.314;28.591;15.032; 0.567;152;28.846;13.874;13.871
ESO079-005;120; 0.455;28.933;15.305;28.458;15.020; 0.476;160;29.009;13.872;13.871
ESO079-007;  6; 0.167;23.410;18.140;22.987;17.870; 0.422;  7;21.398;16.135;13.568
ESO079-007; 12; 0.167;23.460;16.945;23.277;16.607; 0.183; 15;21.846;14.999;13.568
ESO079-007; 18; 0.167;24.010;16.203;23.718;15.912; 0.291; 23;22.389;14.454;13.568
ESO079-007; 24; 0.167;24.558;15.888;24.306;15.574; 0.252; 31;22.885;14.143;13.568
ESO079-007; 30; 0.167;24.701;15.626;24.593;15.334; 0.108; 39;23.262;13.935;13.568
ESO079-007; 36; 0.167;25.383;15.431;25.031;15.160; 0.352; 47;23.695;13.801;13.568
ESO079-007; 42; 0.167;26.060;15.334;25.651;15.054; 0.409; 56;24.237;13.712;13.568
ESO079-007; 48; 0.167;26.652;15.273;26.428;14.994; 0.224; 64;24.765;13.652;13.568
ESO079-007; 54; 0.167;27.602;15.246;27.492;14.965; 0.110; 71;25.448;13.614;13.568
ESO079-007; 60; 0.167;27.983;15.232;28.527;14.956;-0.544; 79;26.205;13.591;13.568
ESO079-007; 66; 0.167;28.781;15.220;29.100;14.949;-0.320; 87;26.784;13.578;13.568
ESO079-007; 72; 0.167;30.060;15.217;29.563;14.946; 0.498; 95;29.242;13.572;13.568
ESO079-007; 78; 0.167;29.356;15.211;      ;14.944;      ;104;28.958;13.573;13.568
ESO079-007; 84; 0.167;30.266;15.207;      ;14.946;      ;112;28.201;13.571;13.568
ESO079-007; 90; 0.167;29.999;15.202;30.280;14.944;-0.281;119;      ;13.568;13.568
ESO079-007; 96; 0.167;30.211;15.199;31.439;14.942;-1.228;127;30.927;13.567;13.568
ESO079-007;102; 0.167;29.409;15.197;      ;14.943;      ;136;      ;13.568;13.568
ESO085-014;  6; 0.629;23.295;18.718;22.901;18.598; 0.394;  8;21.091;16.915;13.339
ESO085-014; 12; 0.629;23.784;17.767;23.380;17.392; 0.405; 16;21.529;15.671;13.339
ESO085-014; 18; 0.629;24.206;17.130;23.680;16.707; 0.525; 24;21.933;15.024;13.339
ESO085-014; 24; 0.629;24.312;16.700;23.917;16.243; 0.395; 32;22.247;14.609;13.339
ESO085-014; 30; 0.629;24.594;16.372;24.173;15.957; 0.420; 40;22.547;14.323;13.339
ESO085-014; 36; 0.629;24.747;16.173;24.191;15.729; 0.555; 48;22.801;14.117;13.339
ESO085-014; 42; 0.629;24.138;15.926;23.824;15.430; 0.313; 56;22.996;13.954;13.339
ESO085-014; 48; 0.629;23.838;15.469;23.746;15.068; 0.092; 64;23.170;13.836;13.339
ESO085-014; 54; 0.629;24.528;15.252;24.036;14.872; 0.492; 72;23.367;13.749;13.339
ESO085-014; 60; 0.629;24.540;15.088;24.274;14.696; 0.265; 80;23.581;13.659;13.339
ESO085-014; 66; 0.629;24.915;14.959;24.502;14.577; 0.413; 88;23.915;13.591;13.339
ESO085-014; 72; 0.629;25.129;14.863;24.714;14.482; 0.415; 96;24.200;13.543;13.339
ESO085-014; 78; 0.629;25.238;14.780;24.990;14.402; 0.248;104;24.431;13.509;13.339
ESO085-014; 84; 0.629;25.371;14.708;25.168;14.336; 0.203;112;24.667;13.479;13.339
ESO085-014; 90; 0.629;25.825;14.654;25.429;14.286; 0.396;120;24.823;13.447;13.339
ESO085-014; 96; 0.629;26.130;14.616;25.573;14.242; 0.557;128;25.214;13.423;13.339
ESO085-014;102; 0.629;26.458;14.580;26.012;14.206; 0.446;136;25.412;13.406;13.339
ESO085-014;108; 0.629;26.831;14.561;26.297;14.182; 0.534;144;25.676;13.390;13.339
ESO085-014;114; 0.629;27.142;14.544;26.618;14.160; 0.524;152;25.820;13.378;13.339
ESO085-014;120; 0.629;27.500;14.531;26.652;14.143; 0.848;160;25.948;13.369;13.339
ESO085-014;126; 0.629;27.998;14.520;26.840;14.125; 1.157;168;26.114;13.361;13.339
ESO085-014;132; 0.629;29.323;14.517;27.150;14.112; 2.173;176;26.143;13.355;13.339
ESO085-014;138; 0.629;28.044;14.511;27.419;14.100; 0.625;184;27.393;13.350;13.339
ESO085-014;144; 0.629;28.564;14.503;27.353;14.090; 1.211;192;26.698;13.346;13.339
